God,Steroid 1 Name,0,Steroid 2 Name,0,Special1,Special Base Damage,Cast Type,PreCast,Postcast,Duration,Special2,Special Base Damage,Cast Type,PreCast,Postcast,Duration,Special3,Special Base Damage,Cast Type,PreCast,Postcast,Duration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Agni,0,0,0,0,Combustion,51,Instant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Ah Muzen Cab,Enable Hive,Disable Hive,Bees! counts as an ability,0,Bees!,58.5,Instant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Ah Puch,0,0,0,0,Fleeting Breath Antiheal,0,Instant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corpses Popping? 0-6
Amaterasu,Enable Valor Aura,Disable Valor Aura,0,0,Charged Mirror,521,Instant,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,0.5,1,1,0.5,1,1,0.5,1,0.5,1,1,0.5,1,1,0.5,
Anhur,Enable Shifting Sands,Disable Shifting Sands,Enfeeblement is automated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Anubis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Ao Kuang,Enable Dragon Call,Disable Dragon Call,King's Sword is automated,0,Dragon Call Blast,0,Instant,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.362767481,0.241844987,0.241844987,0.241844987,0.362767481,0.241844987,0.241844987,0.241844987,1,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,Number of Dragons for projectile?
Aphrodite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Apollo,Enable Audacity,Disable Audacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Arachne,Enable Cocoon,Disable Cocoon,Predator is automated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.241844987,0.241844987,0.483689974,0.241844987,0.241844987,0.483689974,0.241844987,0.241844987,0.5,1,1,0.5,1,1,0.5,1,0.5,1,1,0.5,1,1,0.5,1,
